roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade
std-01,Male,Group D,Some college,Standard,Complete,89,38.0,85.0,26.0,238.0,C
std-02,Male,Group B,High school,Standard,Not complete,65,100.0,67.0,96.0,328.0,A
std-03,Male,Group C,Master's degree,Standard,Not complete,10,99.0,97.0,58.0,264.0,B
std-04,Male,Group D,Some college,Standard,Complete,22,51.0,41.0,84.0,198.0,D
std-05,Male,Group C,Some college,Free/reduced,Complete,26,58.0,64.0,65.0,213.0,C
std-06,Male,Group B,High school,Standard,Not complete,40,49.0,69.0,48.0,206.0,C
std-07,Female,Group C,Some college,Free/reduced,Not complete,34,48.0,84.0,73.0,239.0,C
std-08,Male,Group B,Associate's degree,Standard,Complete,25,80.0,34.0,17.0,156.0,D
std-09,Male,Group C,Some college,Standard,Complete,28,79.0,100.0,76.0,283.0,B
std-10,Male,Group C,High school,0.6442461908580593,Not complete,71,22.0,85.0,39.0,217.0,C
std-11,Male,Group C,High school,Standard,0.3886939961912398,55,64.0,87.0,60.0,266.0,B
std-12,Male,Group E,Associate's degree,Standard,Not complete,27,53.0,54.0,55.0,228.0,C
std-13,Male,Group A,Associate's degree,Standard,Not complete,29,70.12591478696741,76.0,91.0,293.0,B
std-14,Male,Group E,High school,Free/reduced,Complete,18,70.0,71.41579791499599,45.0,162.0,D
std-15,Male,A,Associate's degree,Standard,Complete,72,97.0,52.0,66.06304500350807,289.0,B
std-16,Male,Group D,Master's degree,Free/reduced,Not complete,23,96.0,34.0,54.0,264.7409077246769,C
std-17,Male,Group E,High school,Free/reduced,Not complete,35,70.0,87.0,91.0,283.0,B
std-18,Male,Group B,Some college,Free/reduced,Complete,38,82.0,82.0,73.0,264.7409077246769,B
std-19,Male,Group C,Bachelor's degree,Standard,Complete,41,76.0,78.0,66.06304500350807,280.0,B
std-20,Male,Group B,High school,Standard,Complete,22,73.0,71.41579791499599,75.0,224.0,C
std-21,Male,Group E,Master's degree,Standard,Complete,44,70.12591478696741,50.0,47.0,208.0,C
std-22,Male,Group C,High school,Standard,Complete,27,68.0,62.0,54.0,195.0,D
std-23,Male,Group B,Bachelor's degree,Standard,Complete,39,71.0,49.0,78.0,237.0,C
std-24,Male,Group B,Associate's degree,0.6442461908580593,Complete,85,97.0,43.0,57.0,282.0,B
std-25,Male,Group A,Some college,Standard,Not complete,30,63.0,63.0,9.0,165.0,D
std-26,Male,Group C,Some college,Standard,Complete,100,38.0,74.0,95.0,307.0,B
std-27,Female,Group C,High school,Standard,Not complete,61,64.0,81.0,44.0,250.0,B
