roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade
std-01,Male,Group D,Some college,Standard,Complete,89,38,85,26,238,C
std-02,Male,Group B,High school,Standard,Not complete,65,100,67,96,328,A
std-03,Male,Group C,Master's degree,Standard,Not complete,10,99,97,58,264,B
std-04,Male,Group D,Some college,Standard,Complete,22,51,41,84,198,D
std-05,Male,Group C,Some college,Free/reduced,Complete,26,58,64,65,213,C
std-06,Male,Group B,High school,Standard,Not complete,40,49,69,48,206,C
std-07,Female,Group C,Some college,Free/reduced,Not complete,34,48,84,73,239,C
std-08,Male,Group B,Associate's degree,Standard,Complete,25,80,34,17,156,D
std-09,Male,Group C,Some college,Standard,Complete,28,79,100,76,283,B
std-10,Male,Group C,High school,Free/reduced,Not complete,71,22,85,39,217,C
std-11,Male,Group C,High school,Standard,Complete,55,64,87,60,266,B
std-12,Male,Group E,Associate's degree,Standard,Not complete,27,53,54,55,228,C
std-13,Male,Group A,Associate's degree,Standard,Not complete,29,70.12591479,76,91,293,B
std-14,Male,Group E,High school,Free/reduced,Complete,18,70,71.41579791,45,162,D
std-15,Male,A,Associate's degree,Standard,Complete,72,97,52,66.063045,289,B
std-16,Male,Group D,Master's degree,Free/reduced,Not complete,23,96,34,54,264.7409077,C
std-17,Male,Group E,High school,Free/reduced,Not complete,35,70,87,91,283,B
std-18,Male,Group B,Some college,Free/reduced,Complete,38,82,82,73,264.7409077,B
std-19,Male,Group C,Bachelor's degree,Standard,Complete,41,76,78,66.063045,280,B
std-20,Male,Group B,High school,Standard,Complete,22,73,71.41579791,75,224,C
std-21,Male,Group E,Master's degree,Standard,Complete,44,70.12591479,50,47,208,C
std-22,Male,Group C,High school,Standard,Complete,27,68,62,54,195,D
std-23,Male,Group B,Bachelor's degree,Standard,Complete,39,71,49,78,237,C
std-24,Male,Group B,Associate's degree,Standard,Complete,85,97,43,57,282,B
std-25,Male,Group A,Some college,Standard,Not complete,30,63,63,9,165,D
std-26,Male,Group C,Some college,Standard,Complete,100,38,74,95,307,B
std-27,Female,Group C,High school,Standard,Not complete,61,64,81,44,250,B
std-28,Male,Group B,High school,Free/reduced,Not complete,47,49,98,46,240,C
std-29,Male,Group D,Associate's degree,Free/reduced,Not complete,37,57,57,82,233,C
std-30,Male,Group E,High school,Free/reduced,Complete,49,54,61,78,242,C
std-31,Male,Group E,High school,Standard,Complete,72,89,64,81,306,B
std-32,Male,Group A,Associate's degree,Free/reduced,Not complete,18,69,82,9,178,D
std-33,Male,Group C,Associate's degree,Free/reduced,Not complete,11,67,60,31,169,D
